,Year,Month,Day,xFRF_m,yFRF_m,d10_mm,d25_mm,d50_mm,d75_mm,d90_mm,gridname,GrainCategory
53,2019,11,21,90,960,0.215795454545455,0.26589,0.331894444444444,0.4041,0.480834615384615,../data/AeolisGrids/ML_grids/20191121.txt,1.0
54,2019,11,21,93,960,0.23356375,0.304341666666667,0.405525,0.5373,0.695884,../data/AeolisGrids/ML_grids/20191121.txt,3.0
55,2019,12,12,60,960,0.210041666666667,0.253781818181818,0.31515,0.39457,0.48676,../data/AeolisGrids/ML_grids/20191212.txt,1.0
56,2019,12,12,63,960,0.193145454545455,0.23306875,0.281125,0.336217307692308,0.391813333333333,../data/AeolisGrids/ML_grids/20191212.txt,1.0
57,2019,12,12,66,960,0.243675,0.289678,0.344070588235294,0.403783333333333,0.465456666666667,../data/AeolisGrids/ML_grids/20191212.txt,0.0
58,2019,12,12,69,960,0.181284615384615,0.213038,0.252332352941177,0.2975,0.34235,../data/AeolisGrids/ML_grids/20191212.txt,1.0
59,2019,12,12,72,960,0.168094444444444,0.203533333333333,0.24255,0.285301724137931,0.3287,../data/AeolisGrids/ML_grids/20191212.txt,1.0
60,2019,12,12,75,960,0.145094444444444,0.1807,0.21825,0.25708275862069,0.2955625,../data/AeolisGrids/ML_grids/20191212.txt,1.0
61,2019,12,12,78,960,0.142733333333333,0.185647058823529,0.231965,0.275594444444445,0.317285294117647,../data/AeolisGrids/ML_grids/20191212.txt,1.0
62,2019,12,12,81,960,0.161138888888889,0.202052272727273,0.244471875,0.289235185185185,0.334353125,../data/AeolisGrids/ML_grids/20191212.txt,1.0
63,2019,12,12,84,960,0.1807,0.2139375,0.257677419354839,0.30798,0.360178571428571,../data/AeolisGrids/ML_grids/20191212.txt,1.0
64,2019,12,12,87,960,0.195238461538462,0.23348125,0.280222727272727,0.32893,0.373261111111111,../data/AeolisGrids/ML_grids/20191212.txt,1.0
65,2019,12,20,60,960,0.168872222222222,0.21197,0.259835,0.310361538461538,0.35975,../data/AeolisGrids/ML_grids/20191220.txt,1.0
66,2019,12,20,63,960,0.19322,0.234925,0.283846774193548,0.338677777777778,0.393456666666667,../data/AeolisGrids/ML_grids/20191220.txt,1.0
67,2019,12,20,66,960,0.143738888888889,0.192673333333333,0.247122222222222,0.299579166666667,0.35081,../data/AeolisGrids/ML_grids/20191220.txt,1.0
68,2019,12,20,69,960,0.140672727272727,0.180971428571429,0.248004761904762,0.31625,0.379826923076923,../data/AeolisGrids/ML_grids/20191220.txt,1.0
69,2019,12,20,72,960,0.14831,0.187941176470588,0.2399,0.298768181818182,0.35326,../data/AeolisGrids/ML_grids/20191220.txt,1.0
70,2019,12,20,75,960,0.122819230769231,0.147154545454545,0.18298,0.224915217391304,0.26645,../data/AeolisGrids/ML_grids/20191220.txt,1.0
71,2019,12,20,78,960,0.157219230769231,0.185511111111111,0.21825,0.2537,0.289261764705882,../data/AeolisGrids/ML_grids/20191220.txt,1.0
72,2019,12,20,81,960,0.17181,0.19905,0.232710526315789,0.26944,0.305779411764706,../data/AeolisGrids/ML_grids/20191220.txt,1.0
73,2019,12,20,84,960,0.1777,0.209039,0.248257142857143,0.290918333333333,0.331133157894737,../data/AeolisGrids/ML_grids/20191220.txt,1.0
74,2020,01,03,60,960,0.190333333333333,0.227705434782609,0.27615,0.338696428571429,0.42258,../data/AeolisGrids/ML_grids/20200103.txt,1.0
75,2020,01,03,63,960,0.17205,0.215775,0.26421,0.316419230769231,0.3689,../data/AeolisGrids/ML_grids/20200103.txt,1.0
76,2020,01,03,66,960,0.1618,0.206781578947368,0.254367741935484,0.304911538461538,0.35425,../data/AeolisGrids/ML_grids/20200103.txt,1.0
77,2020,01,03,69,960,0.177485714285714,0.207527777777778,0.2451,0.288626923076923,0.33303125,../data/AeolisGrids/ML_grids/20200103.txt,1.0
78,2020,01,03,72,960,0.18023125,0.215625,0.265412962962963,0.328151136363636,0.391444642857143,../data/AeolisGrids/ML_grids/20200103.txt,1.0
79,2020,01,03,75,960,0.19568,0.242252941176471,0.311289130434783,0.39436125,0.475655,../data/AeolisGrids/ML_grids/20200103.txt,1.0
80,2020,01,03,78,960,0.193083333333333,0.239066666666667,0.304870833333333,0.38115,0.47590625,../data/AeolisGrids/ML_grids/20200103.txt,1.0
81,2020,01,03,81,960,0.190581818181818,0.236025,0.305986363636364,0.394755555555556,0.491254545454545,../data/AeolisGrids/ML_grids/20200103.txt,1.0
82,2020,01,03,84,960,0.188763636363636,0.234779411764706,0.303191304347826,0.37576875,0.443007142857143,../data/AeolisGrids/ML_grids/20200103.txt,1.0
83,2020,01,03,87,960,0.166733333333333,0.2024,0.263944736842105,0.35875,0.47590625,../data/AeolisGrids/ML_grids/20200103.txt,1.0
84,2020,01,09,60,960,0.16231,0.19923,0.247296,0.311491666666667,0.394755555555556,../data/AeolisGrids/ML_grids/20200109.txt,1.0
85,2020,01,09,63,960,0.1751,0.22147,0.270537096774194,0.321364285714286,0.370993333333333,../data/AeolisGrids/ML_grids/20200109.txt,1.0
86,2020,01,09,66,960,0.15554375,0.199766666666667,0.24803,0.298096153846154,0.34787,../data/AeolisGrids/ML_grids/20200109.txt,1.0
87,2020,01,09,69,960,0.145433333333333,0.191828571428571,0.248723076923077,0.304870833333333,0.358571428571429,../data/AeolisGrids/ML_grids/20200109.txt,1.0
88,2020,01,09,72,960,0.13895,0.178590625,0.231674,0.285445652173913,0.33685,../data/AeolisGrids/ML_grids/20200109.txt,1.0
89,2020,01,09,75,960,0.14862,0.190047058823529,0.2441,0.302086956521739,0.3575,../data/AeolisGrids/ML_grids/20200109.txt,1.0
90,2020,01,09,78,960,0.173514285714286,0.203151923076923,0.2424,0.290166,0.341257142857143,../data/AeolisGrids/ML_grids/20200109.txt,1.0
