,paths,year,month,day,hour,minute,coarse_pix
118,../data/masks/FRF_c1_snap_20190906160000_predseg.png,2019,09,07,16,00,28504
119,../data/masks/FRF_c1_snap_20150305160000_predseg.png,2015,03,06,16,00,125
120,../data/masks/FRF_c1_snap_20200702160000_predseg.png,2020,07,03,16,00,327
121,../data/masks/FRF_c1_snap_20200426160000_predseg.png,2020,04,27,16,00,502
122,../data/masks/FRF_c1_snap_20150312160000_predseg.png,2015,03,13,16,00,7181
123,../data/masks/FRF_c1_snap_20211004160000_predseg.png,2021,10,05,16,00,416
124,../data/masks/FRF_c1_snap_20160716160000_predseg.png,2016,07,17,16,00,2139
125,../data/masks/FRF_c1_snap_20170618160000_predseg.png,2017,06,19,16,00,2289
126,../data/masks/FRF_c1_snap_20200531160000_predseg.png,2020,06,01,16,00,115
127,../data/masks/FRF_c1_snap_20210511160000_predseg.png,2021,05,12,16,00,904
128,../data/masks/FRF_c1_snap_20170509160000_predseg.png,2017,05,10,16,00,1001
129,../data/masks/FRF_c1_snap_20200502160000_predseg.png,2020,05,03,16,00,255
130,../data/masks/FRF_c1_snap_20200615160000_predseg.png,2020,06,16,16,00,130
131,../data/masks/FRF_c1_snap_20200314160000_predseg.png,2020,03,15,16,00,311
132,../data/masks/FRF_c1_snap_20171018160000_predseg.png,2017,10,19,16,00,813
133,../data/masks/FRF_c1_snap_20170109160000_predseg.png,2017,01,10,16,00,620
134,../data/masks/FRF_c1_snap_20161223160000_predseg.png,2016,12,24,16,00,1754
135,../data/masks/FRF_c1_snap_20210625160000_predseg.png,2021,06,26,16,00,2679
136,../data/masks/FRF_c1_snap_20210209160000_predseg.png,2021,02,10,16,00,2017
137,../data/masks/FRF_c1_snap_20191127160000_predseg.png,2019,11,28,16,00,291
138,../data/masks/FRF_c1_snap_20170216160000_predseg.png,2017,02,17,16,00,391
139,../data/masks/FRF_c1_snap_20200619160000_predseg.png,2020,06,20,16,00,4912
140,../data/masks/FRF_c1_snap_20151202160000_predseg.png,2015,12,03,16,00,29411
141,../data/masks/FRF_c1_snap_20170306160000_predseg.png,2017,03,07,16,00,1150
142,../data/masks/FRF_c1_snap_20170515160000_predseg.png,2017,05,16,16,00,2461
143,../data/masks/FRF_c1_snap_20150406160000_predseg.png,2015,04,07,16,00,1802
144,../data/masks/FRF_c1_snap_20190512160000_predseg.png,2019,05,13,16,00,3358
